trials.thisTrialN,trials.stepSize,trials.intensity,fixtation.started,grating.started,key_resp.started,fixtation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,
0,2,10.0,9.176607900066301,9.699894500197843,9.699894500197843,9.717127500101924,10.000905100023374,right,10.0,1,1,2.688756499905139,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
1,2,8.0,12.418545100139454,12.903736600186676,12.903736600186676,12.920039200223982,13.202904500067234,left,-8.0,1,1,0.938688799738884,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
2,2,6.0,13.870134300086647,14.370483300182968,14.370483300182968,14.370483300182968,14.67026020004414,right,6.0,1,1,0.6902005998417735,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
3,2,4.0,15.087367200059816,15.587384700076655,15.587384700076655,15.587384700076655,15.887281900038943,left,-4.0,1,1,0.7017618999816477,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
4,2,2.0,16.320892400108278,16.821226100204512,16.821226100204512,16.821226100204512,17.121103800134733,right,2.0,1,1,0.6745263999328017,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
5,2,1.0,17.52165440004319,18.02198740001768,18.02198740001768,18.02198740001768,18.3217604001984,left,-1.0,1,1,0.4568928999360651,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
6,2,1.0,18.505296300165355,19.005316000198945,19.005316000198945,19.005316000198945,19.305680999998003,right,1.0,1,1,0.5688728999812156,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
7,2,1.0,19.605463500134647,20.106208400102332,20.106208400102332,20.106208400102332,20.40614420012571,left,-1.0,1,1,0.9380703999195248,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
8,2,1.0,21.072546900017187,21.57355480012484,21.57355480012484,21.57355480012484,21.872968500014395,right,1.0,1,1,0.47969859978184104,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
9,2,1.0,22.073198000201955,22.573346100049093,22.573346100049093,22.573346100049093,22.873493400169536,right,1.0,1,1,0.8650509999133646,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
10,2,1.0,23.45719060022384,23.95766960014589,23.95766960014589,23.95766960014589,24.25713810021989,right,1.0,1,1,0.5788091998547316,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
11,1,1.0,24.557097900193185,25.058006700128317,25.058006700128317,25.058006700128317,25.358064000029117,left,-1.0,0,0,1.0327458998654038,061451,001,2023-09-01_11h37.13.486,project 3,2023.1.3,59.744008868988445,
