trials.thisTrialN,trials.stepSize,trials.intensity,fixtation.started,grating.started,key_resp.started,fixtation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,11.686504,12.2292383,12.2292383,12.2478101,12.5313241,left,10,1,1,5.1108291,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
1,1,8,17.3665307,17.866775,17.866775,17.866775,18.1667201,left,8,0,0,3.7275759,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
2,1,9,21.6333911,22.1019087,22.1019087,22.1349066,22.402138,right,9,1,1,1.9129819,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
3,1,9,24.0345802,24.5183153,24.5183153,24.535111,24.8182764,right,9,1,1,0.7064988,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
4,1,9,25.2514227,25.7355808,25.7355808,25.7520453,26.0353203,right,9,1,1,0.4474043,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
5,1,8,26.2019289,26.6858936,26.6858936,26.7026059,26.9853973,right,8,1,1,0.4214308,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
6,1,8,27.1354561,27.6195451,27.6195451,27.6363483,27.9193075,right,8,1,1,0.3553191,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
7,0.5,8,28.0025171,28.4864858,28.4864858,28.5030287,28.7862356,left,8,0,0,0.3674044,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
8,0.5,8.5,28.8862635,29.3706058,29.3706058,29.3871565,29.6712017,right,8.5,1,1,0.5141364,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
9,0.5,8.5,29.9048536,30.4045794,30.4045794,30.4045794,30.705363,right,8.5,1,1,0.3820313,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
10,0.5,8.5,30.8039956,31.3042547,31.3042547,31.3042547,31.6040541,right,8.5,1,1,0.4453803,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
11,0.5,8,31.7722302,32.2725687,32.2725687,32.2725687,32.5727682,right,8,1,1,0.405999,157604,1,2023-09-01_13h30.21.459,project 3,2023.1.3,59.98980168
